case,da5_2d,da5_3d,softavg_2d3d_tta,gated_v2b,gated_v2c,fusion_intersection_503_3d,fusion_union_v2_503_3d,fusion_union_v2_503_2d,fusion_union_v2_503_gated_v2c,fusion_union_v2_503_softavg_2d3d_tta,fusion_union_v2_503_gated_v2b
IOG46,0.93787069218931,0.918735301802979,0.940033665310703,0.940033665310703,0.937532680308154,0.623544475044692,0.746983682949867,0.97082111930995,0.972992110054623,0.961088263207846,0.923436664885088
IOG47,0.838598085399778,0.870938801174748,0.867622364574911,0.867622364574911,0.864921661568637,0.76531943652288,0.821746606448609,0.737787948375327,0.88818002727686,0.822792978833247,0.822792978833247
IOG48,0.39437170216924,0,0,0.634061295650578,0.634061295650578,0.770163917990877,0.754035357417371,0.508931409319179,0.533675513269905,0.564083640836408,0.564083640836408
IOG49,0.807870574202896,0.918655569411014,0.911996727633962,0.911996727633962,0.913734872965738,0.908486494405066,0.913787308066824,0.982688770893003,0.978935298935299,0.933728852457893,0.933728852457893
IOG5,0.836749138839517,0.895995416440504,0.942779291553134,0.942779291553134,0.945792212963226,0.93123819234114,0.95561123565871,0.934268558371858,0.955761166211809,0.955400093277367,0.955400093277367
IOG50,0.450664800559832,0.376314375623609,0.721027424422684,0.721027424422684,0.72420249066905,0.378461538461538,0.540576986186939,0.646571679548305,0.616091224051214,0.599895634422291,0.599895634422291
IOG51,0.932124306717141,0.944693052960855,0.929560026531063,0.929560026531063,0.929560026531063,0.939142001995344,0.955239281725982,0.931138811569648,0.96765330335956,0.967183075129102,0.967183075129102
IOG53,0.713705800406179,0.930993446773504,0.936378473043596,0.936378473043596,0.936422872181826,0.959274339061771,0.968140676363309,0.971532956699512,0.972390622666866,0.972601000672093,0.972601000672093
IOG54,0.674202916653655,0.486572713341875,0.807403532089985,0.862096231692493,0.866403566469341,0.357627148648409,0.270530809603232,0.93078753591954,0.932584529339712,0.823113859768208,0.823113859768208
IOG55,0.927522098186496,0.945740326142086,0.93639098763694,0.93639098763694,0.93634927338996,0.932760897552782,0.625712991609154,0.946958078974186,0.949144246952301,0.94952981192477,0.94952981192477
IOG56,0.935585958420566,0.848826727457021,0.928593933966801,0.928593933966801,0.93151341589907,0.958715403204756,0.943814354611699,0.934841831497874,0.944549897329001,0.944897055739793,0.944897055739793
IOG6,0.906490520624714,0.914933974023159,0.931197287480643,0.931197287480643,0.929470800394801,0.926870715080962,0.886552821899858,0.743702342673404,0.82370377549743,0.838835716513716,0.838835716513716
IOG7,0.196592690832244,0.852524152319735,0.824034892504122,0.824034892504122,0.844592727129151,0.740832165132769,0.932929645446847,0.961101563266086,0.961843059912732,0.961083238487018,0.961083238487018
IOG9,0.259215865576956,0.159960510165964,0.69041680594482,0.69041680594482,0.660634198308629,0,0.564036500268384,0.730934027531578,0.560519105197868,0.663370374146192,0.663370374146192
